City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,salta,-24.7859,-65.4117,20.33,84,40,2.06,AR,1675646355
298,baghdad,33.3406,44.4009,10.95,66,0,2.06,IQ,1675646069
299,kapoeta,4.7717,33.5903,27.29,33,85,1.12,SS,1675646357
300,anadyr,64.75,177.4833,-30.56,74,75,5.0,RU,1675646358
301,bat yam,32.0231,34.7503,12.79,59,20,6.69,IL,1675646360
302,cockburn town,21.4612,-71.1419,24.98,69,40,6.69,TC,1675646270
303,caninde,-4.3589,-39.3117,23.56,90,48,1.12,BR,1675646363
304,floro,61.5996,5.0328,7.2,87,100,9.26,NO,1675646364
305,puerto baquerizo moreno,-0.9,-89.6,26.11,77,34,3.44,EC,1675646365
306,quatre cocos,-20.2078,57.7625,26.16,83,100,4.34,MU,1675646297
307,normandin,48.8333,-72.5321,-12.83,85,100,0.51,CA,1675646366
308,valparaiso,-33.0393,-71.6273,17.8,77,0,2.06,CL,1675646199
309,benguela,-12.5763,13.4055,25.05,76,100,0.91,AO,1675646369
310,port-gentil,-0.7193,8.7815,27.15,78,99,5.11,GA,1675646370
311,korla,41.7597,86.1469,-2.93,69,88,1.28,CN,1675646155
312,karad,17.2833,74.2,20.09,36,6,1.52,IN,1675646372
313,quesnel,52.9999,-122.5029,6.28,33,0,5.66,CA,1675646372
314,soyo,-6.1349,12.3689,25.78,84,87,2.2,AO,1675646373
315,katsuura,35.1333,140.3,9.9,67,9,2.46,JP,1675646150
316,alekseyevka,50.6309,38.6903,-7.15,97,100,2.61,RU,1675646375
317,tomatlan,19.9333,-105.25,23.29,64,0,1.51,MX,1675646375
318,bilibino,68.0546,166.4372,-35.58,100,100,0.54,RU,1675646376
319,bonthe,7.5264,-12.505,24.39,86,99,1.97,SL,1675646377
320,assiniboia,49.6334,-105.9845,1.9,69,89,7.2,CA,1675646377
321,ekhabi,53.5102,142.9671,-17.79,92,100,5.4,RU,1675646378
322,kaoma,-14.7833,24.8,17.9,99,100,0.57,ZM,1675646379
323,lerwick,60.1545,-1.1494,8.0,85,100,10.46,GB,1675646234
